"","data","alterosa","betim_centro","cascata","contorno","petrovale","piratininga"
"1476","2020-01-15",13.625,8.875,9.45833333333333,4.03282951521897,5.84222819135331,8.23224970317521
"1477","2020-01-16",12.625,9.16666666666667,8.5,4.86494873220547,5.09902777656781,9.16666666666667
"1478","2020-01-17",17.4770452411108,12.875,10.9166666666667,2.49682104789647,9.78256854229727,8.94716259215206
"1479","2020-01-18",11.0665895703649,6.25,4.37261082838602,2.50078033367364,3.08299211271716,2.10319070034407
"1480","2020-01-19",18.3333333333333,8.16666666666667,4.20833333333333,2.33987944148711,4.115914380343,2.19325966262462
"1481","2020-01-20",11.8333333333333,8.29166666666667,6.0900976196164,2.75281606812954,4.71082566811156,7.57525975295598
"1482","2020-01-21",11.3402781580964,6.92121222059735,5.91866345349196,2.46279915262823,11.0030136629135,5.57117371703346
"1483","2020-01-22",9.9510341688938,7,6.08333333333333,3.22093757073402,9.20833333333333,6.04166666666667
"1484","2020-01-23",5.82932417643869,6.27883496082306,5.11572050000734,6.12163271207955,6.95129229668951,4.9182812036402
"1485","2020-01-24",5.43242763897709,3.60899092897818,6.83178183844143,8.8144040627634,2.60155794102505,9.96068870530542
"1486","2020-01-25",6.95833333333333,5.89956700437402,7.55275701690325,4.28253268243932,4.79166666666667,6.99652650757555
"1487","2020-01-26",11.0855148351121,10.496956020968,7.61354983462309,4.41928940953352,9.83333333333333,5.1412205426388
"1488","2020-01-27",8.58333333333333,7.79934539939359,7.9738992697152,2.2015155252086,8.96214874211304,5.58333333333333
"1489","2020-01-28",9.20833333333333,5.15216665835335,8.54166666666667,3.6643525665575,10.4583333333333,8.40554873200655
"1490","2020-01-29",13.1479567660608,11.125,12.2083333333333,5.22125042616585,15,7.82622672343935
"1491","2020-01-30",19.5416666666667,11.998048400646,12.5833333333333,7.00421648917861,20.6762810227066,9.05665456309655
"1492","2020-01-31",22.2920181599635,12.6530630582105,11.8794003869018,6.125,18.1106976305307,8.33333333333333
"1493","2020-02-01",16.0833333333333,12.125,14.125,7.4707186700259,17.1076492981263,10.7083333333333
"1494","2020-02-02",13.3856994107979,4.74839279914251,9.54166666666667,4.44769967607295,12.9166666666667,6.44049287318509
"1495","2020-02-03",13.8333333333333,7.58333333333333,8.23436662576767,4.625,12.25,5.83333333333333
"1496","2020-02-04",15.6129261486633,10.875,11.5542040340191,6.01463341255509,15.5027925434136,10.7162259266623
"1497","2020-02-05",15.8827708611174,7.82115508692144,8.94612209295863,4.15468720799933,18.5461940845379,6.65714208237553
"1498","2020-02-06",16.4166666666667,9.79166666666667,7.07734539627946,4.82791828908505,13.4166666666667,5
"1499","2020-02-07",13.9166666666667,7.58333333333333,7.29166666666667,3.7368552152935,14.25,3.87165949271618
"1500","2020-02-08",11.75,5.25657382917307,5.89279072038164,2.32820063964758,11.25,8.91666666666667
"1501","2020-02-09",12.2350368154793,3.8467518680989,7.68443938200986,3.80072201284531,11.375,9.67944556167008
"1502","2020-02-10",11,5.96429392721631,9.37970429920222,4.0683869553141,11.1666666666667,11.375
"1503","2020-02-11",11.375,5.02155939949203,8.84911415879366,2.90433202276874,11.2686213066576,4.78175273723829
"1504","2020-02-12",11.014736431702,5.31234598963731,7.69246590141267,2.36882322482536,12.875,4.75577744513443
"1505","2020-02-13",12.2916666666667,5.92386197205268,6.56572120722455,4.42905079997105,15.75,5.43748354605309
"1506","2020-02-14",15.4093145759021,9.70833333333333,5.30759651414861,2.60425520225119,16.3333333333333,5.58349851828536
"1507","2020-02-15",16.875,7.46597735064137,4.04951204420787,2.27957885435068,15.25,8.71260898228555
"1508","2020-02-16",18.5833333333333,6.91666666666667,2.79011773696437,2.37582205259394,18.2083333333333,4.45833333333333
"1509","2020-02-17",17.125,9.63882097396151,3.66705746604562,2.39270774209418,14.2569185946226,7.40008837618613
"1510","2020-02-18",13.4583333333333,7.61477781164406,2.70037798353255,2.53176111102899,12.8333333333333,3.74766505181048
"1511","2020-02-19",15.125,10.6975489979753,4.4407248197413,2.83444895770819,14.9275687605988,7.64081585402358
"1512","2020-02-20",16.875,13.8630782909663,4.95833333333333,5.38266676552447,16.8810160551852,10.125
"1513","2020-02-21",18.76604624961,9.33040076261846,6,7.08333333333333,17.5693273750399,10.625
"1514","2020-02-22",17.0833333333333,7.51542699968456,6.4639769483103,5.27914235415951,11.6710184441566,6.13913003543185
"1515","2020-02-23",13.5,3.4515044222731,1.99925935889893,3.04632448476157,9.33333333333333,1.82533129968662
"1516","2020-02-24",12.9166666666667,3.95873646464919,2.37435394139981,2.93244991356151,9.99047416434669,2.3747166214461
"1517","2020-02-25",15.4166666666667,4.46596850702528,4.05236595546708,3.99263788218106,10.9463442781934,4.95793412322398
"1518","2020-02-26",15.8333333333333,4.97320054940137,6.68888579859615,4.33174000808964,10.107824226782,11.9583333333333
"1519","2020-02-27",15.75,5.58151019621421,7.20188305256206,2.28883181556298,8.76131288794512,5.60450406227275
"1520","2020-02-28",14.6666666666667,7.01196040047035,6.19175442802125,2.75567541853695,11.0833333333333,3.74032833719467
